user_id_dh2,item_id,kc_id_dh2,label_dh2,join_key,user_id_pykt,kc_id_pykt,label_pykt,prob,_merge
1.0639938882829321e+18,6.500751515715536e+18,444.0,1.0,1063993888282932119|444|3,,,,,left_only
1.0639938882829321e+18,8.533929068638915e+18,636.0,0.0,1063993888282932119|636|11,,,,,left_only
3.0502401953380204e+18,4.5819998889772646e+18,344.0,1.0,3050240195338020146|344|3,,,,,left_only
3.0502401953380204e+18,4.443428484293345e+18,402.0,0.0,3050240195338020146|402|3,,,,,left_only
3.0502401953380204e+18,8.519947091546711e+18,77.0,1.0,3050240195338020146|77|2,,,,,left_only
4.4277710101949984e+17,5.681396683825134e+18,409.0,1.0,442777101019499837|409|2,,,,,left_only
4.4277710101949984e+17,4.906611248911601e+18,620.0,1.0,442777101019499837|620|2,,,,,left_only
4.4277710101949984e+17,3.778395780164522e+18,805.0,1.0,442777101019499837|805|2,,,,,left_only
4.725993607927676e+18,5.827249257732795e+18,402.0,1.0,4725993607927675977|402|11,,,,,left_only
4.725993607927676e+18,8.130046184368888e+18,640.0,1.0,4725993607927675977|640|2,,,,,left_only
4.725993607927676e+18,7.311241686224895e+18,807.0,1.0,4725993607927675977|807|2,,,,,left_only
4.725993607927676e+18,5.928695953212367e+18,819.0,1.0,4725993607927675977|819|2,,,,,left_only
4.725993607927676e+18,6.429719095646963e+17,819.0,1.0,4725993607927675977|819|3,,,,,left_only
4.725993607927676e+18,8.151759257934525e+18,820.0,1.0,4725993607927675977|820|1,,,,,left_only
5.534219198950305e+18,7.047730684454308e+18,164.0,1.0,5534219198950304443|164|3,,,,,left_only
5.534219198950305e+18,7.1548132790657e+18,233.0,1.0,5534219198950304443|233|4,,,,,left_only
5.534219198950305e+18,8.315995701892822e+18,396.0,1.0,5534219198950304443|396|2,,,,,left_only
5.534219198950305e+18,3.4387673878160666e+17,859.0,1.0,5534219198950304443|859|2,,,,,left_only
6.329260701555521e+18,4.813821498890662e+18,167.0,0.0,6329260701555520057|167|1,,,,,left_only
6.329260701555521e+18,1.0213956821637798e+17,438.0,1.0,6329260701555520057|438|2,,,,,left_only
6.329260701555521e+18,6.238412361479316e+18,438.0,0.0,6329260701555520057|438|3,,,,,left_only
6.329260701555521e+18,5.779140996275275e+18,438.0,1.0,6329260701555520057|438|4,,,,,left_only
6.329260701555521e+18,5.364094255749624e+18,535.0,1.0,6329260701555520057|535|2,,,,,left_only
6.329260701555521e+18,2.8638719421528934e+18,593.0,1.0,6329260701555520057|593|1,,,,,left_only
6.329260701555521e+18,6.4256301006616e+18,593.0,1.0,6329260701555520057|593|2,,,,,left_only
6.329260701555521e+18,7.756610991432409e+18,650.0,1.0,6329260701555520057|650|1,,,,,left_only
6.329260701555521e+18,8.896822868838821e+18,95.0,1.0,6329260701555520057|95|5,,,,,left_only
6.329260701555521e+18,5.402588654465275e+18,95.0,1.0,6329260701555520057|95|6,,,,,left_only
6.329260701555521e+18,5.402588654465275e+18,95.0,1.0,6329260701555520057|95|7,,,,,left_only
6.995163230305077e+18,2.777800584963991e+18,406.0,0.0,6995163230305076979|406|1,,,,,left_only
7.293137773013978e+18,5.955789482013389e+18,472.0,1.0,7293137773013978496|472|3,,,,,left_only
7.901581974671948e+17,3.036188445087245e+18,205.0,0.0,790158197467194717|205|1,,,,,left_only
8.639042557643901e+18,7.471113395618438e+17,622.0,1.0,8639042557643900701|622|1,,,,,left_only
8.649438674451679e+18,1.0497525577124753e+18,357.0,0.0,8649438674451678846|357|3,,,,,left_only
8.649438674451679e+18,2.5872412451098634e+18,833.0,1.0,8649438674451678846|833|2,,,,,left_only
9.039194770312071e+18,7.226853652850887e+18,136.0,1.0,9039194770312071557|136|2,,,,,left_only
